no_of_processes,avg_wait_time,avg_turnaround_time,context_switches
331,28049.713855421687,29656.2921686747,333
332,28174.624624624623,29779.972972972973,334
333,28302.853293413173,29906.97604790419,335
334,28425.397014925373,30028.29552238806,336
335,28553.011904761905,30154.690476190477,337
336,28680.712166172107,30281.172106824924,338
337,28806.011834319528,30405.251479289942,339
338,28935.466076696164,30533.489675516223,340
339,29062.55294117647,30659.36470588235,341
340,29190.563049853372,30786.16715542522,342
341,29321.198830409357,30915.599415204677,343
342,29450.559766763847,31043.755102040817,344
343,29580.441860465115,31172.433139534885,345
344,29711.92463768116,31302.715942028986,346
345,29841.79768786127,31431.393063583815,347
346,29973.37752161383,31561.778097982708,348
347,30106.666666666668,31693.873563218393,349
348,30238.114613180514,31824.12893982808,350
349,30369.614285714284,31954.431428571428,351
350,30503.840455840455,32087.464387464388,352
351,30637.965909090908,32220.394886363636,353
352,30771.405099150143,32352.643059490085,354
353,30905.370056497177,32485.41242937853,355
354,31041.12676056338,32619.974647887324,356
355,31175.449438202246,32753.101123595505,357
356,31313.99719887955,32890.448179271705,358
357,31449.974860335195,33025.22905027933,359
358,31586.445682451253,33160.5069637883,360
359,31725.758333333335,33298.62777777778,361
360,31863.12465373961,33434.80609418282,362
361,32001.585635359115,33572.08287292818,363
362,32142.465564738293,33711.77961432507,364
363,32281.0,33849.13461538462,365
364,32422.723287671233,33989.68219178082,366
365,32564.680327868853,34130.46721311475,367
366,32705.133514986377,34269.74386920981,368
367,32846.58152173913,34410.010869565216,369
368,32988.20596205962,34550.455284552845,370
369,33130.57837837838,34691.645945945944,371
370,33273.1320754717,34833.01347708895,372
371,33416.11559139785,34974.80913978495,373
372,33559.512064343166,35117.02144772118,374
373,33703.29679144385,35259.6256684492,375
374,33845.49866666667,35400.645333333334,376
375,33989.95744680851,35543.92287234042,377
376,34135.11405835544,35687.89920424403,378
377,34278.83862433863,35830.439153439154,379
378,34425.137203166225,35975.55408970976,380
379,34570.76315789474,36119.99736842105,381
380,34715.86614173228,36263.91601049869,382
381,34863.47905759162,36410.34816753927,383
382,35009.20365535248,36554.88772845953,384
383,35155.591145833336,36700.09375,385
384,35304.71688311688,36848.03376623377,386
385,35452.103626943004,36994.238341968914,387
386,35598.555555555555,37139.51162790698,388
387,35748.68298969072,37288.463917525776,389
388,35899.34190231362,37437.948586118255,390
389,36049.55897435897,37586.99487179487,391
390,36199.92583120205,37736.18670076726,392
391,36350.380102040814,37885.46428571428,393
392,36502.82442748092,38036.72773536896,394
393,36657.40355329949,38190.12436548223,395
394,36806.66835443038,38338.21012658228,396
395,36957.36111111111,38487.72222222222,397
396,37112.871536523926,38642.05289672544,398
397,37266.168341708544,38794.17336683417,399
398,37416.709273182954,38943.538847117794,400
399,37569.73,39095.3825,401
400,37726.49127182045,39250.97007481297,402
401,37881.798507462685,39405.10447761194,403
402,38034.48387096774,39556.61786600496,404
403,38190.28465346534,39711.25,405
404,38347.96543209877,39867.76296296297,406
405,38504.15024630542,40022.78078817734,407
406,38660.41769041769,40177.87714987715,408
407,38816.41421568627,40332.70343137255,409
408,38976.665036674814,40491.78728606357,410
409,39133.47804878049,40647.42926829268,411
410,39290.39416058394,40803.1703163017,412
411,39447.57524271845,40959.17475728155,413
412,39611.946731234864,41122.36561743342,414
413,39772.57487922705,41281.81642512077,415
414,39930.53734939759,41438.604819277105,416
415,40087.42067307692,41594.310096153844,417
416,40255.05035971223,41760.76258992806,418
417,40417.703349282296,41922.23684210526,419
418,40575.5369928401,42078.89260143198,420
419,40734.95238095238,42237.12619047619,421
420,40903.24703087886,42404.2351543943,422
421,41068.54028436019,42568.343601895736,423
422,41226.66903073286,42725.29078014184,424
423,41388.518867924526,42885.95518867925,425
424,41559.788235294116,43056.04,427
425,41718.53286384977,43213.596244131455,427
426,41873.33021077283,43367.20843091335,428
427,42029.98130841122,43522.67289719626,429
428,42195.04662004662,43686.55244755245,430
429,42353.153488372096,43843.47209302326,431
430,42513.78654292344,44002.91647331786,432
431,42670.49768518518,44158.43518518518,433
432,42837.110854503466,44323.85219399538,434
433,43001.24193548387,44486.78571428572,435
434,43160.9540229885,44645.29655172414,436
435,43321.16513761468,44804.30275229358,437
436,43490.23112128147,44972.16704805492,438
437,43656.28082191781,45137.01369863014,439
438,43816.478359908884,45296.006833712985,440
439,43981.15,45459.472727272725,441
440,44151.47619047619,45628.596371882086,442
441,44318.59954751131,45794.515837104074,443
442,44482.051918735895,45956.76072234763,444
443,44642.53828828829,46116.03828828829,445
444,44819.74382022472,46292.03595505618,446
445,44987.77802690583,46458.860986547086,447
446,45148.53914988814,46618.41163310962,448
447,45326.28571428572,46794.94419642857,449
448,45495.26948775056,46962.714922048996,450
449,45664.624444444446,47130.86,451
450,45836.47893569845,47301.50776053215,452
451,46006.63716814159,47470.45796460177,453
452,46177.24282560706,47639.85209713024,454
453,46351.191629955945,47812.58810572687,455
454,46523.37142857143,47983.553846153845,456
455,46693.47149122807,48152.44078947369,457
456,46869.592997811815,48327.35010940919,458
457,47045.04366812227,48501.58515283843,459
458,47218.62309368192,48673.94553376906,460
459,47391.9,48846.00652173913,461
460,47567.80043383948,49020.689804772235,462
461,47747.46753246753,49199.13852813853,463
462,47922.52267818574,49372.97624190065,464
463,48095.48275862069,49544.71767241379,465
464,48276.01075268817,49724.02365591398,466
465,48458.16952789699,49904.957081545064,467
466,48633.25053533191,50078.81370449679,468
467,48811.84829059829,50256.19017094017,469
468,48989.189765458425,50432.30703624734,470
469,49174.35106382979,50616.244680851065,471
470,49354.74734607219,50795.4161358811,472
471,49529.28813559322,50968.72881355932,473
472,49711.00422832981,51149.2177589852,474
473,49898.696202531646,51335.6835443038,475
474,50078.42947368421,51514.18947368421,476
475,50259.78571428572,51694.31932773109,477
476,50439.57442348008,51872.878406708594,478
477,50629.48117154812,52061.55230125523,479
478,50814.624217118995,52245.46555323591,480
479,50995.864583333336,52425.475,481
480,51178.98128898129,52607.36382536383,482
481,51371.41908713693,52798.57676348548,483
482,51558.923395445134,52984.859213250515,484
483,51740.67148760331,53165.38223140496,485
484,51925.298969072166,53348.78350515464,486
485,52122.92798353909,53545.18518518518,487
486,52310.22792607803,53731.25667351129,488
487,52495.62704918033,53915.43032786885,489
488,52685.38036809816,54103.9591002045,490
489,52880.19387755102,54297.551020408166,491
490,53070.14052953157,54486.27698574338,492
491,53260.73577235772,54675.65243902439,493
492,53449.748478701826,54863.446247464504,494
493,53646.86234817814,55059.34210526316,495
494,53842.84242424242,55254.10707070707,496
495,54031.38508064516,55441.43548387097,497
496,54222.835010060364,55631.66800804829,498
497,54424.80722891566,55832.42168674699,499
498,54618.685370741485,56025.084168336674,500
499,54810.082,56215.266,501
